Q_RecaptchaScore,Consent,Q86,Q87_1,Friend_happy,Friend_happy_why,BF_happy,BF_happy_why,nbf_happy,nbf_happy_why,mom_happy,mom_happy_why,friendmom_happy,friendmom_happy_why,BF_sad,BF_sad_why,Friend_sad,Friend_sad_why,nbf_sad,nbf_sad_why,friendmom_sad,friend_mom_sad_why,mom_sad,mom_sad_why,Gender,Age,Ethnicity,Race,Education,comments,,Q_RelevantIDDuplicateScore
1,1,3,1,0,It is a happy thought that matches their mood.,1,They want to share their feeling with their best friend and hopefully the friend will match their mood.,0,This will make Jamie seem like an interesting person that is fun to be around.,0,It is an interesting and fun fact to share with their child.,0,It is a fun fact that the child should enjoy more than knowing about how the adult feels.,1,That seems to be the main thought in their mind and is how they feel at the moment.,1,They will likely say they are feeling down and it wasn't a good day because that is how they are feeling.,0,It is an interesting fact that could make Skylar seem like they are fun to be around.,0,They wouldn't want to project their personal feeling onto a kid.,0,The parent would want their kid to be in a good mood and not project their feelings onto them.,2,39,2,1,2,,,
1,1,3,1,0,"happiness is more of a ""back-seat"" emotion. People don't often openly share when they are feeling happy. ",0,Happiness is more of a back-seat emotion.,0,She will want to make a connection with this person. ,0,"She will want to engage in conversation. happiness is more of a ""back-seat"" emotion that people don't often share when felt. ",0,happiness is a back-seat emotion. ,1,Because the sadness is still present with him and he will be looking for comfort from a good friend.,1,He will be looking for comfort and reassurance anywhere he can find it.,0,"He will want to start the close friendship on a positive note and have a ""shared"" experience with this friend.",0,She is an adult and won't want to weight down the child with more sadness. ,1,The mom will be more likely to share her sadness with her son. ,2,15,2,1,2,Thank you!,,
1,1,3,1,0,Because she found the fact interesting and would like to share with others.,0,She wants to be interesting.,0,She wants to look knowledgeable.,0,Happy people like to share interesting facts.,0,Because she wants to interest Jamie. ,1,Because he wants comfort and empathy from his friends.,1,Because he wants to get empathy.,0,Skylar wants to sound interesting.,1,She wants validation and comfort.,1,She wants comfort from Skylar.,1,22,2,2,5,,,
1,1,3,1,0,same as before. asked about school not feelings. i'm going to copy paste this into the next response box,0,same as before. asked about school not feelings. ,1,"to be friends with others, you should share your positive feelings first",0,parents like telling their children important facts and figures and trivia,0,friends moms also like giving out little factoids to kids. please don't make me run through another set of kids and their feelings and animal facts,0,"peyton didn't ask how skylar is feeling but asked how was school, skylar will answer with the facts about owls",0,"same as before, asked about school not feelings",0,who wants to be friends with someone that is sad?,0,i don't think adults want to tell children if they're feeling sad,0,"moms don't tell their kids when they're feeling sad, at least mine never has",2,23,1,1,3,i'm not going to tell you how i'm feeling an i'm also not going to tell you any animal facts,,
1,1,3,1,0,It's a more interesting fact,0,Rabbits are more interesting than emotions,0,"If she shares the fact about rabbits, her happiness should show.",0,Kids love animal facts,0,Kids love animal facts,0,I think he would think it'd would be more interesting to Peyton,0,He doesn't want to bring Finley down.,0,He wants to share something to become best friends so an interesting fact would be better.,0,"As an adult, she wouldn't want to admit she is sad to a kid",0,"As a parent, she didn't want to put her sadness on her son.",2,32,2,1,3,,,
1,1,3,1,1,Jamie would have responded in excitement and give his friend the details on how his day went.,0,Jamie would have felt very comfortable to tell his friend about his new discovery about rabbits.,0,Jamie would have brought up a conversation about rabbits so as to engage the friend she wanted to become super close with.,0,Jamie's mom would have told Jamie in excitement about her discovery about raccoons.,1,She would have said she was feeling happy due to the relationship they have.,1,"Skylar would have told his friend that he was sad, then proceed to state the reason why.",1,Skylar would have responded that he was not feeling too excited due to his new discovery about owls.,0,Skylar would rather talk about owls than his emotional state with someone he wishes to be close friends with.,1,"She would have responded that she had a sad day, then proceed to state the reason why.",1,Skylar's mom would have talked about her emotion with her son and also talk about how her day went.,1,44,2,1,5,None,,
1,1,3,1,1,Jamie will express her emotions on why she feels happy.,1,Jaime will surely express her emotions about her current happy state. ,0,Jaime will give facts about the rabbit because she is still not comfortable expressing her emotions.,0,Jaime will tell her the facts about raccoons because she is uncomfortable expressiong her emotions.,0,Jaime will tell her the facts about the lizards because she is uncomfortable expressing her emotions.,1,Skylar will always be vulnerable to his friend because he may consider him a safe space to display his emotions.,1,Skylar will be vulnerable to his friend because a close friend is someone you will feel vulnerable with in his company and consider him a safe space for emotions.,0,Skylar won't be vulnerable because he is still not comfortable around the friend and can't fully express his emotions.,0,Skylar is still not comfortable to  share his emotions to her because she is her mom's friend not his.,1,Skylar will be free to express his emotions fully because mom's are considered safe haven for most people.,2,7,2,1,5,,,
0.600000024,1,3,1,0,Kids like sharing new things they have learnt to people around them.,0,She will tell her best friend about rabbits as they will make her look more knowledgeable to her friend.,0,Sharing new experiences and interesting facts is one way in which a child can create friendship easily.,0,She will tell Jamie about Raccoons as children are interested in learning about  interesting factors rather than discussing feelings.,0,She will tell her about lizards as she knows children are interested in learning  interesting facts rather than sharing emotions and feelings.,0,Children tend to forget sadness fast but interesting things they have learnt they are always eager to share with their friends.,0,Children are very eager to share new things they have learnt with their friends and family members.,0,Children are eager to share new things they have learnt. It makes them feel wiser and knowledgeable. Since Skylar wants to become super close friends  with the friends telling them an interesting thing he has learnt will make him look cool and likeable.,0,Telling Skylar the story about geese will cheer him up.,0,She will tell him about foxes as she would not want to make Skylar feel bad about her situation.,2,10,2,2,7,,,
1,1,3,1,1,spread the joy,1,because happiness  is spreadable,1,it will help them become friends,1,friends talk about being happy,0,its interested,0,because he is a intelligent bot,0,he will want to pass on information,0,making friends will make it feel better,1,because they both could feel bad,0,it passes information around,2,54,2,1,3,none,,
1,1,3,1,0,Becuase happy is the normal baseline and learning about the rabbits is something new.,0,"Same reason, happy is expected and baseline but learning about rabbits isnt a daily thing",0,I think will lead with the facts about rabbits since that is more interesting,0,"Raccoons are more interesting than the baseline emotion of happy, that might come out later",0,For a child adult stranger relationship a story about facts'/ lizards would be the approriate one,0,"I dont think Skylar is going to willingly share his emotions, sadness with Peyton.",0,"Same reason, I dont think he will share without being prompted or asked specifically.",0,"For someone he doesnt know, I think it would be unusual to lead off and try to impress them with how sad one is. ",0,I dont think a parent of a friend would openly share how sad they were with a child. ,1,"This to me would be when Skylar would share he is sad, for comfort from his mom",2,38,2,1,3,,,
